"","id","wd","hour","load"
"288","SM20R-01-00000623",5,23,0.0461240384615414
"289","SM20R-01-00000623",6,0,0.0379520348837253
"290","SM20R-01-00000623",6,1,0.0347675781250031
"291","SM20R-01-00000623",6,2,0.0315963438735198
"292","SM20R-01-00000623",6,3,0.0313819444444511
"293","SM20R-01-00000623",6,4,0.0389926181102348
"294","SM20R-01-00000623",6,5,0.0509233398437523
"295","SM20R-01-00000623",6,6,0.0611509615384597
"296","SM20R-01-00000623",6,7,0.0680239257812469
"297","SM20R-01-00000623",6,8,0.0965260617760612
"298","SM20R-01-00000623",6,9,0.104008823529418
"299","SM20R-01-00000623",6,10,0.117953740157483
"300","SM20R-01-00000623",6,11,0.101240612648226
"301","SM20R-01-00000623",6,12,0.0860666996047496
"302","SM20R-01-00000623",6,13,0.103088293650793
"303","SM20R-01-00000623",6,14,0.13246294466404
"304","SM20R-01-00000623",6,15,0.0719171568627383
"305","SM20R-01-00000623",6,16,0.0720960784313777
"306","SM20R-01-00000623",6,17,0.0788647058823482
"307","SM20R-01-00000623",6,18,0.144358630952381
"308","SM20R-01-00000623",6,19,0.15316781496062
"309","SM20R-01-00000623",6,20,0.135727272727266
"310","SM20R-01-00000623",6,21,0.0984662698412714
"311","SM20R-01-00000623",6,22,0.0686775793650778
"312","SM20R-01-00000623",6,23,0.0621874999999971
"313","SM20R-01-00000623",7,0,0.0415658653846152
"314","SM20R-01-00000623",7,1,0.0385519230769252
"315","SM20R-01-00000623",7,2,0.0364581730769265
"316","SM20R-01-00000623",7,3,0.0347572115384662
"317","SM20R-01-00000623",7,4,0.04185432692308
"318","SM20R-01-00000623",7,5,0.053318750000006
"319","SM20R-01-00000623",7,6,0.0540033653846112
"320","SM20R-01-00000623",7,7,0.0604437500000009
"321","SM20R-01-00000623",7,8,0.0639455252918232
"322","SM20R-01-00000623",7,9,0.067625482625491
"323","SM20R-01-00000623",7,10,0.0869171511627921
"324","SM20R-01-00000623",7,11,0.0854951923076901
"325","SM20R-01-00000623",7,12,0.0795461538461548
"326","SM20R-01-00000623",7,13,0.0686774038461569
"327","SM20R-01-00000623",7,14,0.0809155405405391
"328","SM20R-01-00000623",7,15,0.0785541338582632
